Data,Età,Infected,Removed
2020-12-08,0-19,0.12493939381729637,0.11699496346268741
2020-12-08,20-39,0.24974179415789977,0.23900026900489346
2020-12-08,40-59,0.3415301096887965,0.33815829376341877
2020-12-08,60-79,0.19725986185148026,0.19289766630698596
2020-12-08,80-89,0.0642700866685201,0.079959941443579
2020-12-08,90+,0.022258753816007015,0.0329888660184354
2020-12-09,0-19,0.12425969137507967,0.1176560249663396
2020-12-09,20-39,0.24961360335050348,0.23893115301262974
2020-12-09,40-59,0.3411834542903022,0.3383871150550389
2020-12-09,60-79,0.19735089192656685,0.19309146051914197
2020-12-09,80-89,0.06496798036968243,0.07934473129332127
2020-12-09,90+,0.022624378687865366,0.03258951515352853
2020-12-10,0-19,0.12419673244311072,0.11789801735360017
2020-12-10,20-39,0.24951605439904498,0.23889219571918718
2020-12-10,40-59,0.341076919285814,0.3384503709295742
2020-12-10,60-79,0.19741421088802308,0.19312340606746903
2020-12-10,80-89,0.06511429877856785,0.079149063844408
2020-12-10,90+,0.022681784205439356,0.032486946085761435
2020-12-11,0-19,0.12419673244311072,0.11789801735360017
2020-12-11,20-39,0.24951605439904498,0.23889219571918718
2020-12-11,40-59,0.341076919285814,0.3384503709295742
2020-12-11,60-79,0.19741421088802308,0.19312340606746903
2020-12-11,80-89,0.06511429877856785,0.079149063844408
2020-12-11,90+,0.022681784205439356,0.032486946085761435
2020-12-12,0-19,0.12404614439692092,0.11814648746140144
2020-12-12,20-39,0.24916887996913678,0.23887737989543256
2020-12-12,40-59,0.34074737432921964,0.33870130160201467
2020-12-12,60-79,0.19728080645453316,0.1933966917382799
2020-12-12,80-89,0.06571105852728455,0.07870941683837092
2020-12-12,90+,0.02304573632290493,0.0321687224645005
2020-12-13,0-19,0.12402995724344686,0.1182025195002988
2020-12-13,20-39,0.24922147673280196,0.23873282818098193
2020-12-13,40-59,0.3408258707568408,0.3385994038723436
2020-12-13,60-79,0.19722358966983977,0.19359231829570472
2020-12-13,80-89,0.06563103251821163,0.07873231253147994
2020-12-13,90+,0.023068073078859015,0.032140617619191
2020-12-14,0-19,0.12424467208450624,0.11830679414718144
2020-12-14,20-39,0.24915434809733464,0.23868120963600925
2020-12-14,40-59,0.34088101365794665,0.33854449307707113
2020-12-14,60-79,0.197071514659566,0.19366780703538486
2020-12-14,80-89,0.0655268819268386,0.07871280310900204
2020-12-14,90+,0.023121569573807895,0.03208689299535127
2020-12-15,0-19,0.12408356912802343,0.11838810655712621
2020-12-15,20-39,0.24880357728325944,0.23885709759816248
2020-12-15,40-59,0.3405169207371672,0.33873865278930326
2020-12-15,60-79,0.19738426314962929,0.19358885970770412
2020-12-15,80-89,0.06583837754885564,0.07852728820790124
2020-12-15,90+,0.023373292153064964,0.03189999513980268
2020-12-16,0-19,0.12289401160352104,0.11944444204157861
2020-12-16,20-39,0.24771772084552005,0.23952035722349047
2020-12-16,40-59,0.34051210881749366,0.3387723643132903
2020-12-16,60-79,0.19857306530569732,0.19305604453875214
2020-12-16,80-89,0.06663298023572994,0.07773174847992305
2020-12-16,90+,0.023670113192037993,0.0314750434029655
2020-12-17,0-19,0.12280564985365093,0.11960436263740018
2020-12-17,20-39,0.2471577097256575,0.23968964727830605
2020-12-17,40-59,0.34080268743665887,0.33861948904386213
2020-12-17,60-79,0.19879518926159276,0.19301800339635147
2020-12-17,80-89,0.06677061112252926,0.07760697311278689
2020-12-17,90+,0.023668152599910702,0.03146152453129324
2020-12-18,0-19,0.12282616707965004,0.11969442656604282
2020-12-18,20-39,0.24722157644350445,0.23973127710681189
2020-12-18,40-59,0.34088563668426336,0.3385689706668013
2020-12-18,60-79,0.19878911765206198,0.19309430962026275
2020-12-18,80-89,0.06658577106923945,0.07753925886663554
2020-12-18,90+,0.02369173107128074,0.03137175717344574
2020-12-19,0-19,0.12280922078830234,0.11976343759088386
2020-12-19,20-39,0.2473495157131012,0.23968468260053408
2020-12-19,40-59,0.34124994113206253,0.3383391058350739
2020-12-19,60-79,0.1986896353898342,0.19323064008671972
