Data,Età,Infected,Deceased,Recovered
2020-12-08,0-19,0.12493939381729637,0.0,0.12436637653593112
2020-12-08,20-39,0.24974179415789977,0.002668706442291348,0.2538906328148679
2020-12-08,40-59,0.3415301096887965,0.04266530681625021,0.3567761966420232
2020-12-08,60-79,0.19725986185148026,0.35019547849736526,0.18298692216163998
2020-12-08,80-89,0.0642700866685201,0.4128675845656978,0.0589846816540772
2020-12-08,90+,0.022258753816007015,0.19160292367839538,0.022995190191460582
2020-12-09,0-19,0.12425969137507967,0.0,0.12490197949556263
2020-12-09,20-39,0.24961360335050348,0.002677939838986762,0.2534810244750457
2020-12-09,40-59,0.3411834542903022,0.04271229831239263,0.35659652063513136
2020-12-09,60-79,0.19735089192656685,0.35018695051706134,0.18341659025562088
2020-12-09,80-89,0.06496798036968243,0.41263852864890355,0.05881852618651487
2020-12-09,90+,0.022624378687865366,0.1917842826826557,0.022785358952124503
2020-12-10,0-19,0.12419673244311072,0.0,0.12513919879025465
2020-12-10,20-39,0.24951605439904498,0.0026761670597287034,0.2534003542121246
2020-12-10,40-59,0.341076919285814,0.04256778229380969,0.356623191443024
2020-12-10,60-79,0.19741421088802308,0.34969140448592506,0.18350715204411625
2020-12-10,80-89,0.06511429877856785,0.41289912522789235,0.058650460023751114
2020-12-10,90+,0.022681784205439356,0.19216552093264422,0.02267964348672937
2020-12-11,0-19,0.12419673244311072,0.0,0.12513919879025465
2020-12-11,20-39,0.24951605439904498,0.0026761670597287034,0.2534003542121246
2020-12-11,40-59,0.341076919285814,0.04256778229380969,0.356623191443024
2020-12-11,60-79,0.19741421088802308,0.34969140448592506,0.18350715204411625
2020-12-11,80-89,0.06511429877856785,0.41289912522789235,0.058650460023751114
2020-12-11,90+,0.022681784205439356,0.19216552093264422,0.02267964348672937
2020-12-12,0-19,0.12404614439692092,0.0,0.12528050968387522
2020-12-12,20-39,0.24916887996913678,0.0027129502516833365,0.25313766240943264
2020-12-12,40-59,0.34074737432921964,0.04250833496764071,0.35658627856165886
2020-12-12,60-79,0.19728080645453316,0.34936588873635355,0.1839788263297195
2020-12-12,80-89,0.06571105852728455,0.41230306596064586,0.058566079890736915
2020-12-12,90+,0.02304573632290493,0.19310976008367653,0.022450643124576893
2020-12-13,0-19,0.12402995724344686,0.0,0.12529354465294873
2020-12-13,20-39,0.24922147673280196,0.002749621723638612,0.2528895725521353
2020-12-13,40-59,0.3408258707568408,0.04254592193677497,0.35635979253249733
2020-12-13,60-79,0.19722358966983977,0.34925076875518607,0.18425429409709276
2020-12-13,80-89,0.06563103251821163,0.41229682898654474,0.05872161913667127
2020-12-13,90+,0.023068073078859015,0.1931568585978556,0.022481177028654643
2020-12-14,0-19,0.12424467208450624,0.0,0.12538665274716776
2020-12-14,20-39,0.24915434809733464,0.0026975076321697974,0.25280323241696634
2020-12-14,40-59,0.34088101365794665,0.042400943320034246,0.3562666743997216
2020-12-14,60-79,0.197071514659566,0.3488507325267732,0.18438116227815798
2020-12-14,80-89,0.0655268819268386,0.41242791839635595,0.05874221861346325
2020-12-14,90+,0.023121569573807895,0.19362289812466685,0.022420059544523065
2020-12-15,0-19,0.12408356912802343,0.0,0.12543544371153958
2020-12-15,20-39,0.24880357728325944,0.002675295964628422,0.2529163881320907
2020-12-15,40-59,0.3405169207371672,0.04237220255354597,0.356380579472709
2020-12-15,60-79,0.19738426314962929,0.34839722538167023,0.18437351891921275
2020-12-15,80-89,0.06583837754885564,0.41257228906012205,0.05864245505858524
2020-12-15,90+,0.023373292153064964,0.19398298704003333,0.02225161470586272
2020-12-16,0-19,0.12289401160352104,0.0,0.12638287473193716
2020-12-16,20-39,0.24771772084552005,0.002662843097091356,0.2532792219381801
2020-12-16,40-59,0.34051210881749366,0.04238489900103993,0.35598927657128526
2020-12-16,60-79,0.19857306530569732,0.34746163300034666,0.1840867466438945
2020-12-16,80-89,0.06663298023572994,0.4128037059212807,0.05826768482492053
2020-12-16,90+,0.023670113192037993,0.1946869189802414,0.021994195289782446
2020-12-17,0-19,0.12280564985365093,0.0,0.1265114018110619
2020-12-17,20-39,0.2471577097256575,0.0026911161873767876,0.2533760889953865
2020-12-17,40-59,0.34080268743665887,0.04235378790249398,0.3557285539514653
2020-12-17,60-79,0.19879518926159276,0.34741997058547425,0.18410143536865464
2020-12-17,80-89,0.06677061112252926,0.41238226366680225,0.058274015725265055
2020-12-17,90+,0.023668152599910702,0.19515286165785273,0.02200850414816662
2020-12-18,0-19,0.12282616707965004,0.0,0.1265632811957889
2020-12-18,20-39,0.24722157644350445,0.0026818794859472615,0.2533347329989556
2020-12-18,40-59,0.34088563668426336,0.04238299719410297,0.3555660728170109
2020-12-18,60-79,0.19878911765206198,0.3472026291720278,0.1842505591249006
2020-12-18,80-89,0.06658577106923945,0.41245136186770426,0.058319796313067246
2020-12-18,90+,0.02369173107128074,0.19528113228021765,0.021965557550276762
2020-12-19,0-19,0.12280922078830234,0.0,0.12665578537526476
2020-12-19,20-39,0.2473495157131012,0.002702538564314345,0.25332292970033343
2020-12-19,40-59,0.34124994113206253,0.04234483177456577,0.3553734822695531
2020-12-19,60-79,0.1986896353898342,0.346304506255314,0.184421287720451
2020-12-19,80-89,0.06630741764553938,0.41286590550224705,0.05832558594705681
2020-12-19,90+,0.023594269331160333,0.19578221790355885,0.021900928987340886
2020-12-20,0-19,0.12280574320234378,0.0,0.126726225467491
2020-12-20,20-39,0.24740178631196794,0.0027159152634437804,0.2532758350511537
2020-12-20,40-59,0.3413277274300437,0.04221739392842055,0.35519791801040473
