Data,Età,Deceased
2020-12-08,0-19,0.0
2020-12-08,20-39,0.002668706442291348
2020-12-08,40-59,0.04266530681625021
2020-12-08,60-79,0.35019547849736526
2020-12-08,80-89,0.4128675845656978
2020-12-08,90+,0.19160292367839538
2020-12-09,0-19,0.0
2020-12-09,20-39,0.002677939838986762
2020-12-09,40-59,0.04271229831239263
2020-12-09,60-79,0.35018695051706134
2020-12-09,80-89,0.41263852864890355
2020-12-09,90+,0.1917842826826557
2020-12-10,0-19,0.0
2020-12-10,20-39,0.0026761670597287034
2020-12-10,40-59,0.04256778229380969
2020-12-10,60-79,0.34969140448592506
2020-12-10,80-89,0.41289912522789235
2020-12-10,90+,0.19216552093264422
2020-12-11,0-19,0.0
2020-12-11,20-39,0.0026761670597287034
2020-12-11,40-59,0.04256778229380969
2020-12-11,60-79,0.34969140448592506
2020-12-11,80-89,0.41289912522789235
2020-12-11,90+,0.19216552093264422
2020-12-12,0-19,0.0
2020-12-12,20-39,0.0027129502516833365
2020-12-12,40-59,0.04250833496764071
2020-12-12,60-79,0.34936588873635355
2020-12-12,80-89,0.41230306596064586
2020-12-12,90+,0.19310976008367653
2020-12-13,0-19,0.0
2020-12-13,20-39,0.002749621723638612
2020-12-13,40-59,0.04254592193677497
2020-12-13,60-79,0.34925076875518607
2020-12-13,80-89,0.41229682898654474
2020-12-13,90+,0.1931568585978556
2020-12-14,0-19,0.0
2020-12-14,20-39,0.0026975076321697974
2020-12-14,40-59,0.042400943320034246
2020-12-14,60-79,0.3488507325267732
2020-12-14,80-89,0.41242791839635595
2020-12-14,90+,0.19362289812466685
2020-12-15,0-19,0.0
2020-12-15,20-39,0.002675295964628422
2020-12-15,40-59,0.04237220255354597
2020-12-15,60-79,0.34839722538167023
2020-12-15,80-89,0.41257228906012205
2020-12-15,90+,0.19398298704003333
2020-12-16,0-19,0.0
2020-12-16,20-39,0.002662843097091356
2020-12-16,40-59,0.04238489900103993
2020-12-16,60-79,0.34746163300034666
2020-12-16,80-89,0.4128037059212807
2020-12-16,90+,0.1946869189802414
2020-12-17,0-19,0.0
2020-12-17,20-39,0.0026911161873767876
2020-12-17,40-59,0.04235378790249398
2020-12-17,60-79,0.34741997058547425
2020-12-17,80-89,0.41238226366680225
2020-12-17,90+,0.19515286165785273
2020-12-18,0-19,0.0
2020-12-18,20-39,0.0026818794859472615
2020-12-18,40-59,0.04238299719410297
2020-12-18,60-79,0.3472026291720278
2020-12-18,80-89,0.41245136186770426
2020-12-18,90+,0.19528113228021765
2020-12-19,0-19,0.0
2020-12-19,20-39,0.002702538564314345
2020-12-19,40-59,0.04234483177456577
2020-12-19,60-79,0.346304506255314
2020-12-19,80-89,0.41286590550224705
2020-12-19,90+,0.19578221790355885
2020-12-20,0-19,0.0
2020-12-20,20-39,0.0027159152634437804
2020-12-20,40-59,0.04221739392842055
2020-12-20,60-79,0.3460226929808679
2020-12-20,80-89,0.41281912004345467
2020-12-20,90+,0.19622487778381315
2020-12-21,0-19,0.0
2020-12-21,20-39,0.002713724549461753
2020-12-21,40-59,0.04219017061980869
2020-12-21,60-79,0.34593241176646977
2020-12-21,80-89,0.412606075144682
2020-12-21,90+,0.1965576179195778
2020-12-22,0-19,7.404555282409739e-05
2020-12-22,20-39,0.0026804490122323255
2020-12-22,40-59,0.04223558333086515
2020-12-22,60-79,0.3457334952462755
2020-12-22,80-89,0.4125373930041762
2020-12-22,90+,0.19673903385362676
2020-12-23,0-19,7.342790847945487e-05
2020-12-23,20-39,0.0026434047052603755
2020-12-23,40-59,0.04220636179399066
2020-12-23,60-79,0.34534613916057216
2020-12-23,80-89,0.41250330425588155
2020-12-23,90+,0.1972273621758158
2020-12-24,0-19,8.706756442999768e-05
2020-12-24,20-39,0.0025975156721615975
2020-12-24,40-59,0.04208265614116555
2020-12-24,60-79,0.3440329695843975
2020-12-24,80-89,0.4129324355700023
2020-12-24,90+,0.19826735546784305
2020-12-25,0-19,8.660758105026127e-05
2020-12-25,20-39,0.0026126620283495484
2020-12-25,40-59,0.04206241519674356
2020-12-25,60-79,0.34400531193163775
2020-12-25,80-89,0.4127861658823869
2020-12-25,90+,0.198446837379832
2020-12-26,0-19,0.00015826654964533904
2020-12-26,20-39,0.002604204135073306
2020-12-26,40-59,0.04205573860121146
2020-12-26,60-79,0.3438124973022747
2020-12-26,80-89,0.4127735493431938
2020-12-26,90+,0.19859574406860137
2020-12-27,0-19,0.0001577603763302068
2020-12-27,20-39,0.002624558988038895
2020-12-27,40-59,0.04207899492298425
2020-12-27,60-79,0.343745518171127
2020-12-27,80-89,0.4128302211513639
2020-12-27,90+,0.19856294639015576
2020-12-28,0-19,0.0001577603763302068
2020-12-28,20-39,0.002624558988038895
2020-12-28,40-59,0.04207899492298425
2020-12-28,60-79,0.343745518171127
2020-12-28,80-89,0.4128302211513639
2020-12-28,90+,0.19856294639015576
2020-12-29,0-19,0.00015539137436607382
2020-12-29,20-39,0.002613400387065787
2020-12-29,40-59,0.0420686829874698
2020-12-29,60-79,0.3434290638376019
2020-12-29,80-89,0.41283250222492196
2020-12-29,90+,0.1989009591885745
2020-12-30,0-19,0.00015435563538392457
2020-12-30,20-39,0.0025959811405478223
2020-12-30,40-59,0.04206892680736417
2020-12-30,60-79,0.3431606421194432
2020-12-30,80-89,0.41294342164346654
2020-12-30,90+,0.19907667265379433
2020-12-31,0-19,0.00016742940060274585
2020-12-31,20-39,0.0025951557093425604
2020-12-31,40-59,0.041996874651188745
2020-12-31,60-79,0.34297912713472484
2020-12-31,80-89,0.4128809018863712
2020-12-31,90+,0.19938051121776984
2021-01-01,0-19,0.0001664816870144284
2021-01-01,20-39,0.0025943396226415093
2021-01-01,40-59,0.04196725860155383
2021-01-01,60-79,0.3425915649278579
2021-01-01,80-89,0.4128052164261931
2021-01-01,90+,0.19987513873473917
2021-01-02,0-19,0.00016603940668585344
2021-01-02,20-39,0.0025874474208545497
2021-01-02,40-59,0.041924950188177997
2021-01-02,60-79,0.34231791011733453
2021-01-02,80-89,0.4129261678104937
2021-01-02,90+,0.2000774850564534
2021-01-03,0-19,0.00016527559705809436
2021-01-03,20-39,0.0025893176872434785
2021-01-03,40-59,0.041897363854226925
2021-01-03,60-79,0.3422031237087844
2021-01-03,80-89,0.4128033495854337
2021-01-03,90+,0.2003415695672534
2021-01-04,0-19,0.00016136406422289756
2021-01-04,20-39,0.0025549310168625446
2021-01-04,40-59,0.04157814054809994
2021-01-04,60-79,0.34174219401339323
2021-01-04,80-89,0.41368367264610173
2021-01-04,90+,0.20027969771131968
2021-01-05,0-19,0.0002265428232566197
2021-01-05,20-39,0.002531949201103397
2021-01-05,40-59,0.041523966898095704
2021-01-05,60-79,0.34125344811503044
2021-01-05,80-89,0.41394704228355167
2021-01-05,90+,0.20051705067896217
2021-01-06,0-19,0.00022563775848796156
2021-01-06,20-39,0.002535106580658862
2021-01-06,40-59,0.04155716598975339
2021-01-06,60-79,0.34109792678718376
2021-01-06,80-89,0.41391255873218125
2021-01-06,90+,0.20067160415173477
2021-01-07,0-19,0.00022431583669807088
2021-01-07,20-39,0.002520254400548914
2021-01-07,40-59,0.041498429789143115
2021-01-07,60-79,0.34105243712559047
2021-01-07,80-89,0.41400786424933367
2021-01-07,90+,0.20069669859868577
2021-01-08,0-19,0.00022271714922048998
2021-01-08,20-39,0.002528494694091445
2021-01-08,40-59,0.04141228874623346
2021-01-08,60-79,0.34096685444779246
2021-01-08,80-89,0.41424079654133367
2021-01-08,90+,0.20062884842132844
2021-01-09,0-19,0.00022133975652626782
2021-01-09,20-39,0.0025388972072130723
2021-01-09,40-59,0.04148167437015819
2021-01-09,60-79,0.3408241650934184
2021-01-09,80-89,0.4142178243603932
2021-01-09,90+,0.20071609921229086
2021-01-10,0-19,0.00022076201854400956
2021-01-10,20-39,0.002545256213801522
2021-01-10,40-59,0.04149027348518297
2021-01-10,60-79,0.3408305846297691
2021-01-10,80-89,0.4141495467885619
2021-01-10,90+,0.20076357686414045
2021-01-11,0-19,0.0001550127239610918
2021-01-11,20-39,0.002544792218361257
2021-01-11,40-59,0.04149173911358557
2021-01-11,60-79,0.34065337863149603
2021-01-11,80-89,0.4142844225130146
2021-01-11,90+,0.20087065479958147
2021-01-12,0-19,0.00012826761755727149
2021-01-12,20-39,0.0025268720658782485
2021-01-12,40-59,0.04152022780328878
2021-01-12,60-79,0.34083271337318183
2021-01-12,80-89,0.4141761370924296
2021-01-12,90+,0.20081578204766426
2021-01-13,0-19,6.363023199582586e-05
2021-01-13,20-39,0.0025197571870347038
2021-01-13,40-59,0.04157599358607261
2021-01-13,60-79,0.3406380839664541
2021-01-13,80-89,0.41422008424642714
2021-01-13,90+,0.20098245078201554
2021-01-14,0-19,6.32183181398642e-05
2021-01-14,20-39,0.0025034453983386225
2021-01-14,40-59,0.04147121669975092
2021-01-14,60-79,0.3404053558559128
2021-01-14,80-89,0.41438343174318193
2021-01-14,90+,0.20117333198467588
2021-01-15,0-19,0.0001257561086029754
2021-01-15,20-39,0.0025025465611992104
2021-01-15,40-59,0.04146178900640098
2021-01-15,60-79,0.3401451225493278
2021-01-15,80-89,0.41455501200970835
2021-01-15,90+,0.20120977376476062
2021-01-16,0-19,0.00012494689756853338
2021-01-16,20-39,0.0024989379513706673
2021-01-16,40-59,0.04140740185421196
2021-01-16,60-79,0.3400304870430067
2021-01-16,80-89,0.41446135392458205
2021-01-16,90+,0.20147687232926006
2021-01-17,0-19,0.0001246245684874316
2021-01-17,20-39,0.0025174162834461188
2021-01-17,40-59,0.04142520656522227
2021-01-17,60-79,0.33982627335152854
2021-01-17,80-89,0.41451377724604627
2021-01-17,90+,0.20159270198526938
2021-01-18,0-19,0.0001246245684874316
2021-01-18,20-39,0.0025174162834461188
2021-01-18,40-59,0.04142520656522227
2021-01-18,60-79,0.33982627335152854
2021-01-18,80-89,0.41451377724604627
2021-01-18,90+,0.20159270198526938
2021-01-19,0-19,0.00012282296298115895
2021-01-19,20-39,0.002566999926306222
2021-01-19,40-59,0.04120710408017883
2021-01-19,60-79,0.33944582279102903
2021-01-19,80-89,0.41468716991328697
2021-01-19,90+,0.2019700803262178
2021-01-20,0-19,0.00012282296298115895
2021-01-20,20-39,0.002566999926306222
2021-01-20,40-59,0.04120710408017883
2021-01-20,60-79,0.33944582279102903
2021-01-20,80-89,0.41468716991328697
2021-01-20,90+,0.2019700803262178
2021-01-21,0-19,0.00012097896175855019
2021-01-21,20-39,0.002528460300753699
2021-01-21,40-59,0.04114494489408292
2021-01-21,60-79,0.3388862676780508
2021-01-21,80-89,0.41510301358593743
2021-01-21,90+,0.20221633457941665
2021-01-22,0-19,0.0001203166734846115
2021-01-22,20-39,0.002562745145222225
2021-01-22,40-59,0.041076112327646366
2021-01-22,60-79,0.33863127752243904
2021-01-22,80-89,0.4153211252015304
2021-01-22,90+,0.20228842312967732
2021-01-23,0-19,0.00011970456912340344
