Data,Età,Daily_extinct,Extinct,Infected,Recovered
2022-10-24,0-9,0.00546448087431694,0.00022792412405910073,0.06585743309736199,0.08526259493420302
2022-10-24,10-19,0.00546448087431694,0.00019373550545023562,0.08683692581187899,0.11698350887559543
2022-10-24,20-29,0.0,0.0007635458155979874,0.09334783022761182,0.11454092964601718
2022-10-24,30-39,0.01092896174863388,0.0025926369111722706,0.12063347195327133,0.13475802927706632
2022-10-24,40-49,0.00546448087431694,0.009475945457757113,0.14640805053807815,0.16260642229821157
2022-10-24,50-59,0.01639344262295082,0.03575559696177143,0.1689557474365893,0.1602171612391306
2022-10-24,60-69,0.060109289617486336,0.09974529479136396,0.1292903399892067,0.10428377298400464
2022-10-24,70-79,0.19672131147540983,0.24300700296871172,0.10375464270975525,0.07220657407153223
2022-10-24,80-89,0.4098360655737705,0.4031464925326359,0.06720818386717882,0.03949639742213667
2022-10-24,>90,0.2896174863387978,0.20509182493148032,0.01770737436906765,0.009644609252102353
2022-10-25,0-9,0.0,0.00022774114940958106,0.06635397853521821,0.08500019054091748
2022-10-25,10-19,0.0,0.0001935799769981439,0.0875324139321119,0.11665334383525719
2022-10-25,20-29,0.0,0.0007629328505220966,0.09344410726312034,0.11432279164767835
2022-10-25,30-39,0.0,0.0025905555745339847,0.12028308300686112,0.13462142000111393
2022-10-25,40-49,0.014184397163120567,0.009479725344173812,0.14624942210818134,0.16252134565633228
2022-10-25,50-59,0.02127659574468085,0.03574397339983375,0.16817011855380673,0.1604526350230442
2022-10-25,60-69,0.09219858156028368,0.09973923638392602,0.12860312549490735,0.1045995675510396
2022-10-25,70-79,0.1702127659574468,0.24294856466140585,0.10348142827662661,0.07251509275734806
2022-10-25,80-89,0.3829787234042553,0.4031303020986347,0.06790488820492804,0.03964829529016676
2022-10-25,>90,0.3191489361702128,0.20518338856056206,0.017977434624238342,0.009665317697102178
2022-10-26,0-9,0.0,0.00022774114940958106,0.06635397853521821,0.08500019054091748
2022-10-26,10-19,0.0,0.0001935799769981439,0.0875324139321119,0.11665334383525719
2022-10-26,20-29,0.0,0.0007629328505220966,0.09344410726312034,0.11432279164767835
2022-10-26,30-39,0.0,0.0025905555745339847,0.12028308300686112,0.13462142000111393
2022-10-26,40-49,0.014184397163120567,0.009479725344173812,0.14624942210818134,0.16252134565633228
2022-10-26,50-59,0.02127659574468085,0.03574397339983375,0.16817011855380673,0.1604526350230442
2022-10-26,60-69,0.09219858156028368,0.09973923638392602,0.12860312549490735,0.1045995675510396
2022-10-26,70-79,0.1702127659574468,0.24294856466140585,0.10348142827662661,0.07251509275734806
2022-10-26,80-89,0.3829787234042553,0.4031303020986347,0.06790488820492804,0.03964829529016676
2022-10-26,>90,0.3191489361702128,0.20518338856056206,0.017977434624238342,0.009665317697102178
2022-10-27,0-9,0.004608294930875576,0.00023314662648204486,0.06609878101775343,0.08492040877621274
2022-10-27,10-19,0.0,0.0001933411048875494,0.08724937591788444,0.1165560833309577
2022-10-27,20-29,0.0,0.0007619914133803417,0.09307863593253886,0.11425745234495263
2022-10-27,30-39,0.0,0.0025873589036422054,0.12021233065726077,0.13456957706946257
2022-10-27,40-49,0.009216589861751152,0.009479400642574848,0.1463952319174784,0.1624869097604042
2022-10-27,50-59,0.03686635944700461,0.03574535839185693,0.16854975052575152,0.16050987994742152
2022-10-27,60-69,0.027649769585253458,0.09965028006027693,0.12891617474933628,0.10468503238597221
2022-10-27,70-79,0.15668202764976957,0.24284211424184698,0.10351595334688815,0.07262259789346504
2022-10-27,80-89,0.4930875576036866,0.4032413067584089,0.06792582700792671,0.03971659645348801
2022-10-27,>90,0.271889400921659,0.20526570185664325,0.01805793892718143,0.009675462037663412
2022-10-28,0-9,0.0,0.00023301015014946748,0.06677985376697806,0.08478591994306295
